name,time,duration,max_unemp,gdp_decline,desc
Great Depression,Aug 1929 – Mar 1933,3 years 7 months,21.3%– 24.9%,_26.7%,"A banking panic and a collapse in the money supply took place in the United States that was exacerbated by international commitment to the gold standard.[38][39][40] Extensive new tariffs and other factors contributed to an extremely deep depression.[41] GDP, industrial production, employment, and prices fell substantially. The economy began to recover in the mid 30's with gold inflow expanding the money supply and improving expectations but double dipped during the Recession of 1937-38. The ultimate recovery has been credited to monetary policy and monetary expansion.[42]"
Recession of 1937–1938,May 1937–June 1938,1 year 1 month,17.8%-19.0%,_18.2%,"The Recession of 1937 is only considered minor when compared to the Great Depression, but is otherwise among the worst recessions of the 20th century. Three explanations are offered as causes for the recession: the tight fiscal policy resulting from an attempt to balance the budget after New Deal spending, the tight monetary policy of the Federal Reserve, and the declining profits of businesses led to a reduction in business investment.[44]"
Recession of 1945,Feb–Oct 1945,8 months,0.052,_12.7%,"The decline in government spending at the end of World War II led to an enormous drop in gross domestic product, making this technically a recession. This was the result of demobilization and the shift from a wartime to peacetime economy. The post-war years were unusual in a number of ways (unemployment was never high) and this era may be considered a ""sui generis end-of-the-war recession"".[45][46]"
Recession of 1949,Nov 1948 –Oct1949,11 months,0.079,_1.7%,"The 1948 recession was a brief economic downturn; forecasters of the time expected much worse, perhaps influenced by the poor economy in their recent lifetimes.[47] The recession also followed a period of monetary tightening.[34]"
Recession of 1953,July 1953 – May 1954,10 months,0.061,_2.6%,"After a post-Korean War inflationary period, more funds were transferred to national security. In 1951, the Federal Reserve reasserted its independence from the U.S. Treasury and in 1952, the Federal Reserve changed monetary policy to be more restrictive because of fears of further inflation or of a bubble forming.[34][48][49]"
Recession of 1958,Aug 1957 – Apr 1958,8 months,0.075,_3.7%,"Monetary policy was tightened during the two years preceding 1957, followed by an easing of policy at the end of 1957. The budget balance resulted in a change in budget surplus of 0.8% of GDP in 1957 to a budget deficit of 0.6% of GDP in 1958, and then to 2.6% of GDP in 1959.[34]"
Recession of 1960–61,Apr 1960 – Feb 1961,10 months,0.071,_1.6%,"Another primarily monetary recession occurred after the Federal Reserve began raising interest rates in 1959. The government switched from deficit (or 2.6% in 1959) to surplus (of 0.1% in 1960). When the economy emerged from this short recession, it began the second-longest period of growth in NBER history.[34] The Dow Jones Industrial Average (Dow) finally reached its lowest point on Feb. 20, 1961, about 4 weeks after President Kennedy was inaugurated."
Recession of 1969–70,Dec 1969 –Nov 1970,11 months,0.061,_0.6%,"The relatively mild 1969 recession followed a lengthy expansion. At the end of the expansion, inflation was rising, possibly a result of increased deficits. This relatively mild recession coincided with an attempt to start closing the budget deficits of the Vietnam War (fiscal tightening) and the Federal Reserve raising interest rates (monetary tightening).[34]"
1973–75 recession,Nov 1973 – Mar 1975,1 year 4 months,0.09,_3.2%,"The 1973 oil crisis, a quadrupling of oil prices by OPEC, coupled with the 1973–1974 stock market crash led to a stagflation recession in the United States.[50][51]"
1980 recession,Jan–July 1980,6 months,0.078,_2.2%,"The NBER considers a very short recession to have occurred in 1980, followed by a short period of growth and then a deep recession. Unemployment remained relatively elevated in between recessions. The recession began as the Federal Reserve, under Paul Volcker, raised interest rates dramatically to fight the inflation of the 1970s. The early '80s are sometimes referred to as a ""double-dip"" or ""W-shaped"" recession.[34][52]"
1981–1982 recession,July 1981 – Nov 1982,1 year 4 months,0.108,_2.7%,"The Iranian Revolution sharply increased the price of oil around the world in 1979, causing the 1979 energy crisis. This was caused by the new regime in power in Iran, which exported oil at inconsistent intervals and at a lower volume, forcing prices up. Tight monetary policy in the United States to control inflation led to another recession. The changes were made largely because of inflation carried over from the previous decade because of the 1973 oil crisis and the 1979 energy crisis.[53][54]"
Early 1990s recession,July 1990 – Mar 1991,8 months,0.078,_1.4%,"After the lengthy peacetime expansion of the 1980s, inflation began to increase and the Federal Reserve responded by raising interest rates from 1986 to 1989. This weakened but did not stop growth, but some combination of the subsequent 1990 oil price shock, the debt accumulation of the 1980s, and growing consumer pessimism combined with the weakened economy to produce a brief recession.[55][56][57]"
Early 2000s recession,Mar 2001–Nov 2001,8 months,0.063,_0.3%,"The 1990s were the longest period of growth in American history. The collapse of the speculative dot-com bubble, a fall in business outlays and investments, and the September 11th attacks,[58]brought the decade of growth to an end. Despite these major shocks, the recession was brief and shallow.[59]"
Great Recession,Dec 2007 – June 2009,1 year 6 months,0.1,_5.1%,"The subprime mortgage crisis led to the collapse of the United States housing bubble. Falling housing-related assets contributed to a global financial crisis, even as oil and food prices soared. The crisis led to the failure or collapse of many of the United States' largest financial institutions: Bear Stearns, Fannie Mae, Freddie Mac, Lehman Brothers, Citi Bank and AIG, as well as a crisis in the automobile industry. The government responded with an unprecedented $700 billion bank bailout and $787 billion fiscal stimulus package. The National Bureau of Economic Research declared the end of this recession over a year after the end date.[64] The Dow Jones Industrial Average (Dow) finally reached its lowest point on March 9, 2009.[65]"
